"pbc_id","client_pbc_name","reviewed_name","pbc_spec","pbc_kind","pbc_file_format","related_pbc_ids","iuc_or_system","cycle","source","notes","updated_at"
"PBC-EC-133","備份排程結果通知MAIL","備份排程結果通知MAIL","",NA,NA,"","備份排程結果通知MAIL","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-134","系統參數變更_線上申請單","系統參數變更_線上申請單","",NA,NA,"","系統參數變更_線上申請單","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-135","備份設定畫面","備份設定畫面","備份內容應含應用系統(Oracle ERP, EPF系統)/資料庫/作業系統",NA,NA,"","備份設定畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-136","備份結果存放路徑畫面","備份結果存放路徑畫面","備份內容應含應用系統(Oracle ERP, EPF系統)/資料庫/作業系統",NA,NA,"","備份結果存放路徑畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-137","備份結果通知MAIL","備份結果通知MAIL","備份內容應含應用系統(Oracle ERP, EPF系統)/資料庫/作業系統",NA,NA,"","備份結果通知MAIL","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-138","每日資料庫備份回復測試紀錄","每日資料庫備份回復測試紀錄","",NA,NA,"","每日資料庫備份回復測試紀錄","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-139","作業系統變更之申請評估記錄","作業系統變更之申請評估記錄","含Windows Update, 版本Patch更新",NA,NA,"","作業系統變更之申請評估記錄","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-140","作業系統更新紀錄","作業系統更新紀錄","須透過指令取得，可參考附件說明檔案",NA,NA,"","作業系統更新紀錄","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-141","資料庫更新紀錄","資料庫更新紀錄","須透過指令取得，可參考附件說明檔案",NA,NA,"","資料庫更新紀錄","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-142","防火牆變更申請紀錄","防火牆變更申請紀錄","含防火牆設備汰渙, 韌體更新, 版本更新",NA,NA,"","防火牆變更申請紀錄","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-143","可進出遠傳IDC機房之人員名單","可進出遠傳IDC機房之人員名單","",NA,NA,"","可進出遠傳IDC機房之人員名單","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
